id,en

Menu_History,History
Menu_Settings,Settings
Menu_Info,Info

Menu_History_None,No history exists yet...

Menu_Settings_PickerSettings,"Picker Settings"
Menu_Settings_Range,Range
Menu_Settings_Except,Exceptions
Menu_Settings_Graphics,Graphics
Menu_Settings_Resolution,Resolution
Menu_Settings_Fullscreen,Fullscreen
Menu_Settings_Allow_Cards,Allow Using Cards
Menu_Settings_Others,Others
Menu_Settings_Translations,Translations
Menu_Settings_IsTabAtBottom,Set Menu Bar at bottom
Menu_Settings_AutoEraseHistory,Erase History Automaticly

Menu_Info_Info,Info
Menu_Info_Ver,Version
Menu_Info_Ver_Software,Software
Menu_Info_Ver_Datapack,Datapack
Menu_Info_Description,Descrpitions
Menu_Info_Description_Author,Author
Menu_Info_Description_BugReport,Bug Reports

Menu_Settings_Changed,Changes will be executed after restart.
